Location,Nickname,TEAM OVR,Division,
Chicago,Bears,75,NFC North,
Cincinnati,Bengals,84,AFC North,
Buffalo,Bills,79,AFC East,
Denver,Broncos,89,AFC West,
Cleveland,Browns,75,AFC North,
Tampa Bay,Buccaneers,74,NFC South,
Arizona,Cardinals,82,NFC West,
San Diego,Chargers,82,AFC West,
Kansas City,Chiefs,82,AFC West,
Indianapolis,Colts,87,AFC South,
Dallas,Cowboys,86,NFC East,
Miami,Dolphins,81,AFC East,
Philadelphia,Eagles,84,NFC East,
Atlanta,Falcons,77,NFC South,
San Francisco,49ers,78,NFC West,
New York,Giants,77,NFC East,
Jacksonville,Jaguars,73,AFC South,
New York,Jets,76,AFC East,
Detroit,Lions,83,NFC North,
Green Bay,Packers,90,NFC North,
Carolina,Panthers,80,NFC South,
New England,Patriots,91,AFC East,
Oakland,Raiders,74,AFC West,
St. Louis,Rams,78,NFC West,
Baltimore,Ravens,85,AFC North,
Washington,Redskins,75,NFC East,
New Orleans,Saints,78,NFC South,
Seattle,Seahawks,91,NFC West,
Pittsburgh,Steelers,84,AFC North,
Tennessee,Titans,72,AFC South,
Minnesota,Vikings,77,NFC North,
Houston,Texans,79,AFC South,
,,,,
