,home_loc,school_loc,home_latlng,school_latlng,home_lat,home_lng,school_lat,school_lng
0,"Paramus, NJ ","Ann Arbor, Michigan","[40.9445428, -74.0754189]","[42.2808256, -83.7430378]",40.9445428,-74.0754189,42.2808256,-83.7430378
1,"Concord, CA ","Ann Arbor, Michigan","[37.9779776, -122.0310733]","[42.2808256, -83.7430378]",37.9779776,-122.0310733,42.2808256,-83.7430378
2,"Hartland, WI ","Ann Arbor, Michigan","[43.105008, -88.3420398]","[42.2808256, -83.7430378]",43.105008,-88.3420398,42.2808256,-83.7430378
3,"Los Angeles, CA ","Ann Arbor, Michigan","[34.0522342, -118.2436849]","[42.2808256, -83.7430378]",34.0522342,-118.2436849,42.2808256,-83.7430378
4,"Rancho Santa Margarita, CA ","Ann Arbor, Michigan","[33.640855, -117.603104]","[42.2808256, -83.7430378]",33.640855,-117.603104,42.2808256,-83.7430378
5,"Egg Harbor City, NJ ","Ann Arbor, Michigan","[39.5287282, -74.64793639999999]","[42.2808256, -83.7430378]",39.5287282,-74.6479364,42.2808256,-83.7430378
6,"Detroit, MI ","Ann Arbor, Michigan","[42.331427, -83.0457538]","[42.2808256, -83.7430378]",42.331427,-83.0457538,42.2808256,-83.7430378
7,"Avon, IN ","Ann Arbor, Michigan","[39.7628227, -86.3997167]","[42.2808256, -83.7430378]",39.7628227,-86.3997167,42.2808256,-83.7430378
8,"Detroit, MI ","Ann Arbor, Michigan","[42.331427, -83.0457538]","[42.2808256, -83.7430378]",42.331427,-83.0457538,42.2808256,-83.7430378
9,"Wayne, NJ ","Ann Arbor, Michigan","[40.92537249999999, -74.2765441]","[42.2808256, -83.7430378]",40.9253725,-74.2765441,42.2808256,-83.7430378
10,"Pembroke Pines, FL ","Ann Arbor, Michigan","[26.007765, -80.2962555]","[42.2808256, -83.7430378]",26.007765,-80.2962555,42.2808256,-83.7430378
11,"Boulder, CO ","Ann Arbor, Michigan","[40.0149856, -105.2705456]","[42.2808256, -83.7430378]",40.0149856,-105.2705456,42.2808256,-83.7430378
12,"Camden, NJ ","Ann Arbor, Michigan","[39.9259463, -75.1196199]","[42.2808256, -83.7430378]",39.9259463,-75.1196199,42.2808256,-83.7430378
13,"Wake Forest, NC ","Clemson, South Carolina","[35.9798734, -78.50972279999999]","[34.6834382, -82.8373654]",35.9798734,-78.5097228,34.6834382,-82.8373654
14,"Bradenton, FL ","Clemson, South Carolina","[27.4989278, -82.5748194]","[34.6834382, -82.8373654]",27.4989278,-82.5748194,34.6834382,-82.8373654
