#,Name,Pos,Location,Stars,Ht,Wt,School
1,Rashan Gary,DT,"Paramus, NJ 
Paramus Catholic",,"6'5""",290,Michigan
2,Dexter Lawrence,DT,"Wake Forest, NC 
Wake Forest",,"6'4""",340,Clemson
3,Shea Patterson,QB,"Bradenton, FL 
IMG Academy",,"6'2""",193,Mississippi
4,Gregory Little,OL,"Allen, TX 
Allen",,"6'5""",318,Mississippi
5,Ben Davis,LB,"Gordo, AL 
Gordo",,"6'4""",236,Alabama
6,Rahshaun Smith,LB,"Bradenton, FL 
IMG Academy",,"6'2""",226,Clemson
7,Jacob Eason,QB,"Lake Stevens, WA 
Lake Stevens",,"6'5""",207,Georgia
8,Demetris Robertson,ATH,"Savannah, GA 
Savannah Christian School",,"6'0""",180,California
9,Mique Juarez,LB,"Torrance, CA 
North",,"6'2""",215,UCLA
10,Levonta Taylor,DB,"Virginia Beach, VA 
Ocean Lakes",,"5'10""",180,Florida State
11,Mecole Hardman Jr.,ATH,"Bowman, GA 
Elbert County",,"5'10""",171,Georgia
12,Jack Jones,DB,"Long Beach, CA
Poly",,"5'10""",163,USC
13,Erick Fowler,LB,"Manor, TX 
Manor",,"6'3""",235,Texas
14,Caleb Kelly,LB,"Fresno, CA 
Clovis West",,"6'3""",214,Oklahoma
15,Jeffery Simmons,DE,"Macon, MS 
Noxubee County",,"6'4""",251,Mississippi St
16,Tre Lamar,LB,"Roswell, GA 
Roswell",,"6'3""",240,Clemson
17,Derrick Brown,DT,"Sugar Hill, GA 
Lanier",,"6'4""",320,Auburn
18,N'Keal Harry,WR,"Chandler, AZ 
Chandler",,"6'4""",200,Arizona State
19,Ed Oliver,DT,"Houston, TX 
Westfield",,"6'2""",290,Houston
20,Terrell Hall,DE,"Washington, DC
St. John's College High",,"6'5""",251,Alabama
21,Nick Bosa,DE,"Fort Lauderdale, FL 
St. Thomas Aquinas",,"6'4""",255,Ohio State
22,Tyler Vaughns,WR,"La Puente, CA 
Bishop Amat",,"6'2""",176,USC
23,Isaac Nauta,TE,"Bradenton, FL 
IMG Academy",,"6'4""",235,Georgia
24,Jonah Williams,OL,"Folsom, CA 
Folsom",,"6'5""",280,Alabama
25,Marlon Davidson,DE,"Greenville, AL 
Greenville",,"6'3""",279,Auburn
26,Lyndell Wilson,LB,"Montgomery, AL 
Carver",,"6'1""",235,Alabama
27,Antonneous Clayton,DE,"Vienna, GA 
Dooly County",,"6'4""",218,Florida
28,Curtis Robinson,LB,"Santa Ana, CA 
Mater Dei",,"6'3""",215,Stanford
29,Landon Young,OL,"Lexington, KY 
Lafayette",,"6'7""",298,Kentucky
30,Keandre Jones,LB,"Olney, MD 
Good Counsel",,"6'3""",210,Ohio State
31,Daelin Hayes,LB,"Ann Arbor, MI 
Skyline",,"6'3""",254,Notre Dame
32,Chauncey Gardner II,DB,"Cocoa, FL 
Cocoa",,"5'11""",190,Florida
33,B.J. Emmons,RB,"Morganton, NC 
Freedom",,"5'11""",205,Alabama
34,Malik Henry,QB,"Long Beach, CA
Poly",,"6'2""",174,Florida State
35,Nate Craig-Myers,WR,"Tampa, FL 
Tampa Catholic",,"6'4""",220,Auburn
36,Cornell Powell,WR,"Greenville, NC 
Rose",,"6'1""",190,Clemson
37,Jarrett Guarantano,QB,"Oradell, NJ 
Bergen Catholic",,"6'4""",188,Tennessee
38,Theo Howard,WR,"Westlake Village, CA 
Westlake",,"6'0""",175,UCLA
39,Miles Sanders,RB,"Pittsburgh, PA 
Woodland Hills",,"5'11""",200,Penn State
40,Byron Murphy,DB,"Scottsdale, AZ 
Saguaro",,"5'11""",167,Washington
41,Tommy Kraemer,OL,"Cincinnati, OH 
Elder",,"6'5""",310,Notre Dame
42,Michael Pittman,WR,"Westlake Village, CA 
Oaks Christian",,"6'4""",205,USC
43,Landon Dickerson,OL,"Hudson, NC 
South Caldwell",,"6'5""",297,Florida State
44,Benito Jones,DT,"Waynesboro, MS 
Wayne County",,"6'0""",280,Mississippi
45,Baveon Johnson,OL,"Lakeland, FL 
Lake Gibson",,"6'3""",332,Florida State
46,Devin Asiasi,TE,"Concord, CA 
De La Salle",,"6'5""",253,Michigan
47,Sam Bruce,WR,"Fort Lauderdale, FL 
St. Thomas Aquinas",,"5'8""",179,Miami (FL)
48,Wole Betiku,DE,"Gardena, CA 
Junipero Serra",,"6'4""",250,USC
49,Kaden Smith,TE,"Flower Mound, TX 
Marcus",,"6'5""",233,Stanford
50,McTelvin Agim,DE,"Hope, AR 
Hope Senior",,"6'3""",269,Arkansas
51,Nigel Knott,DB,"Madison, MS 
Germantown",,"6'0""",170,Alabama
52,Devin Duvernay,WR,"Sachse, TX 
Sachse",,"5'11""",193,Baylor
53,A.J. Brown,WR,"Starkville, MS 
Starkville",,"6'2""",220,Mississippi
54,K.J. Costello,QB,"Rancho Santa Margarita, CA 
Santa Margarita Catholic",,"6'4""",218,Stanford
55,Josh King,DE,"Darien, IL 
Hinsdale South",,"6'6""",230,Michigan State
56,Elijah Stove,WR,"Niceville, FL 
Niceville",,"6'0""",174,Auburn
57,Feleipe Franks,QB,"Crawfordville, FL 
Wakulla",,"6'6""",203,Florida
58,Kristian Fulton,DB,"Metairie, LA 
Rummel",,"6'0""",175,Louisiana State
59,Javon McKinley,WR,"Corona, CA 
Centennial",,"6'2""",196,Notre Dame
60,Ben Bredeson,OL,"Hartland, WI 
Arrowhead",,"6'4""",280,Michigan
61,Donnie Corley,WR,"Detroit, MI 
Martin Luther King",,"6'2""",187,Michigan State
62,Patrick Hudson,OL,"Silsbee, TX 
Silsbee",,"6'5""",330,Baylor
63,Brandon Bowen,DE,"Trophy Club, TX
Byron Nelson",,"6'5""",230,Baylor
64,Terrance Davis,OL,"Hyattsville, MD 
DeMatha",,"6'4""",307,Maryland
65,Brian Burns,DE,"Plantation, FL 
American Heritage",,"6'5""",217,Florida State
66,DeMario McCall,RB,"North Ridgeville, OH 
North Ridgeville",,"5'11""",180,Ohio State
67,Scott Bracey,WR,"Richmond, VA 
Benedictine School",,"6'2""",195,Duke
68,Kellen Diesch,OL,"Trophy Club, TX
Byron Nelson",,"6'7""",272,Texas A&M
69,Glen Logan,DE,"Destrehan, LA 
Destrehan",,"6'4""",290,Louisiana State
