Name,Alignment,Intell.,Strength,Speed,Durab.,Power,Combat,
Green Arrow,good,75,12,35,28,26,90,266
Hal Jordan,good,63,90,53,64,100,56,426
Batman,good,100,18,27,42,37,100,324
Superman,good,100,100,100,100,94,85,579
Wonder Woman,good,88,100,50,100,42,100,480
Mister Fantastic,good,100,10,18,70,32,64,294
Thing,good,75,84,21,90,26,80,376
Human Torch,good,56,10,63,70,74,42,315
Red Arrow,good,63,16,25,20,24,80,228
Spiderman,good,30,37,38,34,36,37,212
Spider-Girl,good,63,38,60,65,46,75,347
Aquaman,good,63,80,50,80,65,80,418
Iron Man,good,100,85,58,85,100,64,492
Thor,good,69,100,92,100,100,85,546
Wolverine,good,55,32,38,100,44,100,369
Hawkeye,good,50,12,23,14,26,80,205
Storm,good,75,10,47,30,88,75,325
Professor X,good,100,8,12,14,90,32,256
Martian Manhunter,good,100,100,96,100,100,85,581
Captain America,good,63,19,35,56,46,100,319
Hulk,good,88,100,47,100,41,85,461
